DBG 2024-02-10 03:17:33.135+00:00 Successfully started discovery v5 service  topics="waku discv5" tid=1 file=waku_discv5.nim:258
INF 2024-02-10 03:17:33.135+00:00 Discv5: discoverable ENR                   topics="waku discv5" tid=1 file=waku_discv5.nim:259 enr=enr:-Kq4QJ0Q2IytmTU2v-LylM1bR_YH_Z-PPCEIBRyG6gEH2xjPPjSrNUKxLznEcuSJW9r3ZD7wofrfnHwnGWUD-Rq2I-QBgmlkgnY0gmlwhKwSsheKbXVsdGlhZGRyc4wACgSsErIXBq9R3QOJc2VjcDI1NmsxoQM3Tqpf5eFn4Jztm4gB0Y0JVSJyxyZsW8QR-QU5DZb-PYN0Y3CCr1CDdWRwgq9ShXdha3UyAQ
DBG 2024-02-10 03:17:33.135+00:00 6/7 Starting monitoring and external interfaces topics="wakunode main" tid=1 file=wakunode2.nim:149
INF 2024-02-10 03:17:33.135+00:00 Starting JSON-RPC HTTP server              topics="JSONRPC-HTTP-SERVER" tid=1 file=httpserver.nim:89 url=http://127.0.0.1:8545
DBG 2024-02-10 03:17:33.135+00:00 HTTP RPC server started                    topics="JSONRPC-HTTP-SERVER" tid=1 file=httpserver.nim:259
INF 2024-02-10 03:17:33.135+00:00 RPC Server started                         topics="wakunode app" tid=1 file=app.nim:796 address=127.0.0.1:8545
NTC 2024-02-10 03:17:33.135+00:00 REST service started                       tid=1 file=server.nim:83 address=0.0.0.0:44879
INF 2024-02-10 03:17:33.135+00:00 Starting REST HTTP server                  topics="wakunode app" tid=1 file=app.nim:756 url=http://0.0.0.0:44879/
INF 2024-02-10 03:17:33.135+00:00 Starting metrics HTTP server               topics="wakunode app" tid=1 file=app.nim:801 serverIp=0.0.0.0 serverPort=44883
INF 2024-02-10 03:17:33.139+00:00 Metrics HTTP server started                topics="wakunode app" tid=1 file=app.nim:813 serverIp=0.0.0.0 serverPort=44883
DBG 2024-02-10 03:17:33.140+00:00 7/7 Setting up shutdown hooks              topics="wakunode main" tid=1 file=wakunode2.nim:156
INF 2024-02-10 03:17:33.140+00:00 Node setup complete                        topics="wakunode main" tid=1 file=wakunode2.nim:196
TRC 2024-02-10 03:17:34.134+00:00 running heartbeat                          topics="libp2p gossipsub" tid=1 file=behavior.nim:702 instance=140364267618384
TRC 2024-02-10 03:17:34.134+00:00 rebalancing mesh                           topics="libp2p gossipsub" tid=1 file=behavior.nim:318 mesh=0 gossipsub=0 topic=/waku/2/default-waku/proto
TRC 2024-02-10 03:17:34.134+00:00 replenishing mesh                          topics="libp2p gossipsub" tid=1 file=behavior.nim:330 peers=0 mesh=0 gossipsub=0 topic=/waku/2/default-waku/proto
TRC 2024-02-10 03:17:34.135+00:00 grafting                                   topics="libp2p gossipsub" tid=1 file=behavior.nim:359 grafting=0 mesh=0 gossipsub=0 topic=/waku/2/default-waku/proto
TRC 2024-02-10 03:17:34.135+00:00 mesh balanced                              topics="libp2p gossipsub" tid=1 file=behavior.nim:528 mesh=0 gossipsub=0 topic=/waku/2/default-waku/proto
TRC 2024-02-10 03:17:34.135+00:00 getting gossip peers (iHave)               topics="libp2p gossipsub" tid=1 file=behavior.nim:579 ntopics=0
DBG 2024-02-10 03:17:34.364+00:00 Received request                           tid=1 file=serverprivate.nim:136 peer=172.17.0.1:45584 meth=GET uri=/debug/v1/info
DBG 2024-02-10 03:17:34.364+00:00 Serving API request                        tid=1 file=serverprivate.nim:186 peer=172.17.0.1:45584 meth=GET uri=/debug/v1/info path_params=[] query_params=[] content_body=(None)
DBG 2024-02-10 03:17:34.364+00:00 Received response from handler             tid=1 file=serverprivate.nim:291 status=200 meth=GET peer=172.17.0.1:45584 uri=/debug/v1/info content_type=application/json content_size=448
TRC 2024-02-10 03:17:35.127+00:00 Got new request                            topics="websock http-server" tid=1 file=server.nim:190 isTls=false
TRC 2024-02-10 03:17:35.127+00:00 Received connection                        topics="websock http-server" tid=1 file=server.nim:73 address=172.18.171.165:50558
TRC 2024-02-10 03:17:35.127+00:00 Received valid HTTP request                topics="websock http-server" tid=1 file=server.nim:105 address=172.18.171.165:50558
TRC 2024-02-10 03:17:35.127+00:00 Awaiting new request                       topics="websock http-server" tid=1 file=server.nim:170
TRC 2024-02-10 03:17:35.127+00:00 Didn't match any protocol                  topics="websock ws-server" tid=1 file=websock.nim:312 supported="@[\"\"]" requested="@[\"\"]"
TRC 2024-02-10 03:17:35.127+00:00 Stream created                             topics="libp2p lpstream" tid=1 file=lpstream.nim:161 s=65c6eacf7df3c2ee8809a97b objName=WsStream dir=In
TRC 2024-02-10 03:17:35.127+00:00 Monitoring for timeout                     topics="libp2p connection" tid=1 file=connection.nim:64 s=:65c6eacf7df3c2ee8809a97b timeout=10m
DBG 2024-02-10 03:17:35.127+00:00 Accepted an incoming connection            topics="libp2p switch" tid=1 file=switch.nim:271 conn=:65c6eacf7df3c2ee8809a97b
TRC 2024-02-10 03:17:35.127+00:00 Upgrading connection                       topics="libp2p muxedupgrade" tid=1 file=muxedupgrade.nim:65 conn=:65c6eacf7df3c2ee8809a97b direction=In
TRC 2024-02-10 03:17:35.127+00:00 Starting multistream negotiation           topics="libp2p multistream" tid=1 file=multistream.nim:135 conn=:65c6eacf7df3c2ee8809a97b handshaked=false
TRC 2024-02-10 03:17:35.127+00:00 Reading new frame                          topics="websock ws-session" tid=1 file=frame.nim:163
DBG 2024-02-10 03:17:35.127+00:00 About to accept incoming connection        topics="libp2p switch" tid=1 file=switch.nim:245
